Gender German,Noun German,English US,Difficulty,Topic,German,Rule Ending
der,April,April,B,Time,der April,
das,Aquarium,aquarium,B,Animals,das Aquarium,Museum
die,Arbeit,work,B,Work,die Arbeit,
der,Arbeiter,worker,B,Work,der Arbeiter,Tiger
die,Arbeiterin,worker (female),B,Work,die Arbeiterin,Königin
der,Arbeitnehmer,employee,B,Work,der Arbeitnehmer,Tiger
die,Arbeitnehmerin,employee (female),B,Work,die Arbeitnehmerin,Königin
die,Architektin,architect (female),M,Work,die Architektin,Königin
das,Argument,argument,B,Society,das Argument,Monument
der,Arm,arm,B,Health,der Arm,
die,Armee,army,B,Military,die Armee,Giraffe
der,Ärmel ,sleeve,A,Shopping,der Ärmel ,Büffel
die,Art,type,A,Conceptional,die Art,
der,Artikel,article,B,Conceptional,der Artikel,Büffel
die,Artillerie,artillery ,B,Military,die Artillerie,Giraffe
die,Arznei,medecine,A,Science,die Arznei,
die,Ärztin,doctor (female),M,Work,die Ärztin,Königin
die,Asche,ash,A,Science,die Asche,Giraffe
der,Aspekt,aspect,B,Conceptional,der Aspekt,
das,Ass,ace,A,Leisure,das Ass,
der,Assistent,assistant,M,Work,der Assistent,
der,Ast,branch,A,Nature,der Ast,
der,Asteroid,asteroid ,A,Science,der Asteroid,
der,Atem,breath,A,Health,der Atem,
die,Athletik,athletics,M,Leisure,die Athletik,Musik
die,Atmosphäre,atmosphere,M,Science,die Atmosphäre,Giraffe
die,Attitüde,attitude,A,Psychology,die Attitüde,Giraffe
die,Auffahrt,driveway,A,House,die Auffahrt,
die,Aufgabe,task,B,Work,die Aufgabe,Giraffe
die,Aufmerksamkeit,attention,M,Conceptional,die Aufmerksamkeit,Langsamkeit
der,Aufprall,impact,M,Conceptional,der Aufprall,Fußball
die,Aufregung,excitement,A,Psychology,die Aufregung,Kleidung
der,Aufstand,insurgency ,A,Military,der Aufstand,
der,Auftrag,order,A,Conceptional,der Auftrag,Schlag
der,Aufwand,effort,M,Psychology,der Aufwand,Hund
der,Aufzug,elevator,A,Transportation,der Aufzug,
das,Auge,eye,M,Health,das Auge,Giraffe
die,Augenbraue,eyebrow,M,Health,die Augenbraue,Giraffe
das,Augenlid,eyelid,A,Health,das Augenlid,
der,August,August,B,Time,der August,
der,Ausdruck,expression,M,Society,der Ausdruck,Dreck
der,Ausgang,exit,A,House,der Ausgang,
der,Ausländer,foreigner,M,Society,der Ausländer,Tiger
die,Ausrüstung,equipment,M,Work,die Ausrüstung,Kleidung
die,Aussage,statement,B,Society,die Aussage,Giraffe
das,Aussehen,look,A,Shopping,das Aussehen,
die,Aussicht,view,A,Nature,die Aussicht,
die,Ausstellung,exhibition ,A,The arts,die Ausstellung,Kleidung
der,Austausch,swap,M,Conceptional,der Austausch,
das,Auto,car,B,Transportation,das Auto,Foto
die,Autobahn,highway,M,Transportation,die Autobahn,
der,Autor,author,B,The arts,der Autor,Alligator
die,Autorität,authority,M,Military,die Autorität,Antiquität
die,Autorität,authority,B,Society,die Autorität,Antiquität
die,Avocado,avocado,M,Food,die Avocado,Foto
das,Baby,baby,B,Family,das Baby,
das,Babysitting,babysitting,B,Work,das Babysitting,Marketing
der,Bach,brook,A,Nature,der Bach,
der,Backofen,oven,M,Food,der Backofen,Schinken
das,Bad,bath,B,House,das Bad,
das,Badezimmer,bathroom,M,House,das Badezimmer,Tiger
der,Bahnhof,train station,B,Transportation,der Bahnhof,
das,Bakterium,bacterium,M,Health,das Bakterium,Museum
die,Balance,balance,M,Science,die Balance,Giraffe
der,Balkon,balcony,M,House,der Balkon,
der,Ball,ball,B,Leisure,der Ball,Fußball
der,Ballon,balloon,M,Leisure,der Ballon,
die ,Banane,banana,B,Food,die  Banane,Giraffe
die,Bank,bank,B,Work,die Bank,
die,Bar,bar,B,Food,die Bar,
der,Bär,bear,M,Animals,der Bär,
der,Barkeeper,bartender,M,Work,der Barkeeper,Tiger
der,Bart,beard,A,Health,der Bart,
der,Baseball,baseball,A,Leisure,der Baseball,Fußball
die,Basis,base,M,Science,die Basis,
der,Basketball,basketball,B,Leisure,der Basketball,Fußball
die,Batterie,battery,B,Work,die Batterie,Giraffe
der,Bau,construction,A,House,der Bau,
der,Bauch,belly,M,Health,der Bauch,Bauch
der,Bauer,farmer,A,Work,der Bauer,Tiger
der,Bauernhof,farm,M,House,der Bauernhof,
der,Baum,tree,B,Nature,der Baum,
die,Baumwolle,cotton,A,Shopping,die Baumwolle,Giraffe
der,Beamte,official,B,Work,der Beamte,Giraffe
die ,Beamtin,official (female),A,Work,die Beamtin,Königin
der,Beat,beat,A,Conceptional,der Beat,
der,Becher,mug,A,Food,der Becher,Tiger
das,Bedauern,regret,M,Psychology,das Bedauern,
die,Bedeutung,meaning,M,Psychology,die Bedeutung,Kleidung
die,Bedrohung,threat,B,Conceptional,die Bedrohung,Kleidung
das,Bedürfnis,need,A,Psychology,das Bedürfnis,
der,Befehl,order,M,Military,der Befehl,
die,Begabung,gift,M,Society,die Begabung,Kleidung
die,Begegnung,meeting,B,Society,die Begegnung,Kleidung
die,Begeisterung,enthusiasm,A,Psychology,die Begeisterung,Kleidung
der,Begleiter,companion,M,Work,der Begleiter,Tiger
das,Begräbnis,funeral,A,Society,das Begräbnis,
der,Begriff,term,A,Conceptional,der Begriff,
die,Begrüßung,greeting,M,Society,die Begrüßung,Kleidung
die,Behandlung,treatment,A,Health,die Behandlung,Kleidung
das,Bein,leg,B,Health,das Bein,
das,Beispiel,example,M,Conceptional,das Beispiel,
der,Beitrag,contribution,A,Society,der Beitrag,Schlag
die,Bekleidung,clothing,A,Leisure,die Bekleidung,Kleidung
die,Bemerkung,remark,M,Conceptional,die Bemerkung,Kleidung
die,Beobachtung,observation,B,Psychology,die Beobachtung,Kleidung
der,Bereich,area,M,Society,der Bereich,König
der,Berg,mountain,A,Nature,der Berg,
der,Bericht,report,B,Work,der Bericht,
der,Beruf,job,B,Work,der Beruf,
die,Berührung,touch,M,Health,die Berührung,Kleidung
die,Besatzung,crew,M,Work,die Besatzung,Kleidung
die,Beschwerde,complaint,M,Shopping,die Beschwerde,Giraffe
der,Besitz,possession,M,Society,der Besitz,
die,Bestellung,order,B,Work,die Bestellung,Kleidung
der,Besuch,visit,A,Society,der Besuch,Bauch
der,Besucher,visitor,A,Society,der Besucher,Tiger
der,Betrag,amount,A,Work,der Betrag,Schlag
der,Betreiber,operator,A,Work,der Betreiber,Tiger
der,Betrieb,business,M,Work,der Betrieb,
das,Bett,bed,B,House,das Bett,
das,Bettlein,little bed,A,House,das Bettlein,Häuschen
der,Beutel,bag,M,Shopping,der Beutel,Büffel
die,Bevölkerung,population,A,Society,die Bevölkerung,Kleidung
die,Bewegung,move,A,Leisure,die Bewegung,Kleidung
der,Beweis,proof,A,Science,der Beweis,
die,Bewertung,assessment ,A,Education,die Bewertung,Kleidung
der,Bewohner,resident,B,House,der Bewohner,Tiger
das,Bewusstsein,consciousness,A,Psychology,das Bewusstsein,
die,Beziehung,relation ,B,Family,die Beziehung,Kleidung
die,Bibel,Bible,B,Society,die Bibel,Büffel
der,Biber,beaver,A,Animals,der Biber,Tiger
die,Bibliothek,library,B,Education,die Bibliothek,
die,Biene,bee,B,Animals,die Biene,Giraffe
das,Bier,beer,B,Food,das Bier,Tiger
der,Bierbauch,beer belly,A,Health,der Bierbauch,Bauch
das,Biest,beast,A,Animals,das Biest,
die,Bilanz,balance,M,Conceptional,die Bilanz,Eleganz
das,Bild,picture,M,The arts,das Bild,
der,Bildschirm,screen,B,Work,der Bildschirm,
die,Bildung,formation,M,Education,die Bildung,Kleidung
die,Bindung,bond,M,Conceptional,die Bindung,Kleidung
die,Birke,birch,M,Nature,die Birke,Giraffe
der,Bischof,bishop,A,Society,der Bischof,
die,Bise,bise,A,Nature,die Bise,Giraffe
der,Biss,bite,M,Food,der Biss,
das,Bistro,bistro,M,Food,das Bistro,Foto
die,Blase,bubble,A,Science,die Blase,Giraffe
das,Blatt,leaf,B,Nature,das Blatt,
das,Blau,blue,B,Conceptional,das Blau,
das,Blei,lead,A,Conceptional,das Blei,
der,Bleistift,pencil,A,Education,der Bleistift,
der,Blick,glance,M,Health,der Blick,Dreck
der,Blitz,lightning,M,Nature,der Blitz,
der,Block,block,B,Conceptional,der Block,Dreck
die,Blume,flower,B,Nature,die Blume,Giraffe
die,Bluse,blouse,B,Shopping,die Bluse,Giraffe
das,Blut,blood,B,Health,das Blut,
der,Bluterguss,bruise,A,Health,der Bluterguss,
die,Bö,squall ,A,Nature,die Bö,Giraffe
der,Bob,bob,A,Leisure,der Bob,
die,Bohne,bean,A,Food,die Bohne,Giraffe
die,Bombe,bomb,M,Military,die Bombe,Giraffe
das,Boot,boat,M,Transportation,das Boot,
die,Botanik,botany,M,Science,die Botanik,Musik
die,Botschaft,message,A,Society,die Botschaft,Mutterschaft
das,Bowling,bowling,B,Leisure,das Bowling,Marketing
das,Brainstorming,brainstorming,B,Work,das Brainstorming,Marketing
die,Branche,branch,M,Science,die Branche,Giraffe
das,Braun,brown,A,The arts,das Braun,Giraffe
die,Braut,bride,M,Family,die Braut,
der,Bräutigam,groom ,A,Family,der Bräutigam,
die,Bremse,brake,M,Transportation,die Bremse,Giraffe
der,Brief,letter,B,Work,der Brief,
die,Brillanz,brilliance,B,Conceptional,die Brillanz,Eleganz
die,Brise,breeze,A,Nature,die Brise,Giraffe
das,Brot,bread,M,Food,das Brot,
das,Brötchen,bun,A,Health,das Brötchen,Häuschen
der,Bruch,fracture,A,Health,der Bruch,Bauch
die,Brücke,bridge,M,Transportation,die Brücke,Giraffe
der,Bruder,brother,B,Family,der Bruder,Tiger
die,Bruderschaft,brotherhood,A,Family,die Bruderschaft,Mutterschaft
der,Brunnen,fountain / well,M,Society,der Brunnen,Schinken
die,Brust,breast,B,Health,die Brust,
das,Buch,book,B,The arts,das Buch,Bauch
die,Buche,beech,M,Nature,die Buche,Giraffe
der,Buchstabe,letter,A,Society,der Buchstabe,Giraffe
die,Bucht,bay,A,Nature,die Bucht,
der,Büffel,buffalo,A,Animals,der Büffel,Büffel
die,Bühne,stage,M,The arts,die Bühne,Giraffe
der,Bulle,bull,B,Animals,der Bulle,Giraffe
das,Bündel,bundle,A,Conceptional,das Bündel,Büffel
die,Burg,castle,M,House,die Burg,
der,Bürger,citizen,A,Society,der Bürger,Tiger
die ,Bürgerin,citizen (female),A,Work,die Bürgerin,Königin
der,Bürgermeister,mayor,A,Work,der Bürgermeister,Tiger
der,Bürgersteig,sidewalk,M,Society,der Bürgersteig,König
das,Büro,office,B,Work,das Büro,Foto
der,Bus,bus,B,Transportation,der Bus,
der,Busch,bush,A,Nature,der Busch,
die,Butter,butter,M,Food,die Butter,Tiger
das,Cabrio,convertible,M,Transportation,das Cabrio,Foto
das,Café,café,M,Food,das Café,
das,Camp,camp,M,Society,das Camp,
das,Camping,camping,B,Leisure,das Camping,Marketing
der,Campus,campus,B,Education,der Campus,
der,Cappuccino ,Cappuccino,B,Food,der Cappuccino ,Foto
der,Champagner,champagne,M,Food,der Champagner,Tiger
die,Chance,chance,B,Conceptional,die Chance,Giraffe
das,Chaos,chaos,B,Society,das Chaos,
der,Charakter,character,M,Psychology,der Charakter,Tiger
der,Charme,charm,M,Psychology,der Charme,Giraffe
der,Chef,boss,B,Work,der Chef,
das,China,China,B,Society,das China,
das,Chinesisch,Chinese (language),B,Education,das Chinesisch,
der,Chip,chip,M,Work,der Chip,
der,Chor,choir,B,The arts,der Chor,Alligator
das,Chrom,chrome,B,Conceptional,das Chrom,
die,Chronologie,chronology,B,Time,die Chronologie,Giraffe
das,Chronometer,chronometer ,B,Time,das Chronometer,Tiger
das,Clearing,clearing,B,Work,das Clearing,Marketing
der,Club,club,M,Leisure,der Club,
der,Code,code,B,Work,der Code,Giraffe
das,College,college,B,Education,das College,Giraffe
der,Computer,computer,B,Work,der Computer,Tiger
der,Container,container,M,Science,der Container,Tiger
das,Controlling,controlling,B,Work,das Controlling,Marketing
die,Couch,couch,B,House,die Couch,Bauch
der,Cousin,cousin,B,Family,der Cousin,
der,Cowboy,cowboy,A,Work,der Cowboy,
die,Creme,cream,B,Food,die Creme,Giraffe
das,Croissant,croissant,B,Food,das Croissant,Elefant
das,Dach,roof,A,House,das Dach,
der,Dachboden,attic,A,House,der Dachboden,Schinken
der,Dackel,dachshund,A,Animals,der Dackel,Büffel
die,Dame,lady,B,Society,die Dame,Giraffe
die,Dämmerung,twilight,A,Nature,die Dämmerung,Kleidung
der,Dämon,demon,M,Education,der Dämon,
der,Dampf,steam,M,Science,der Dampf,
der,Dank,gratitude,M,Conceptional,der Dank,
der,Darm,bowel,A,Health,der Darm,
die,Datei,file,A,Work,die Datei,
der,Datensatz,record,M,Work,der Datensatz,
das,Datum,date,B,Time,das Datum,Museum
der,Daumen,thumb,M,Health,der Daumen,Schinken
der,Deal,deal,M,Work,der Deal,Regal
das,Deck,deck,M,House,das Deck,Dreck
die,Decke,blanket,B,House,die Decke,Giraffe
der,Deckel,lid,A,House,der Deckel,Büffel
der,Dekan,dean,A,Education,der Dekan,
der,Delphin,dolphin,M,Animals,der Delphin,
der,Demonstrant,protester ,M,Society,der Demonstrant,Elefant
das,Denken,thinking,A,Psychology,das Denken,
das,Denkmal,memorial,A,Military,das Denkmal,Regal
das,Deo,deodorant,M,Shopping,das Deo,Foto
die,Depression,depression,M,Psychology,die Depression,Emotion
der,Schwager,the brother-in-law,A,Family,der Schwager,Tiger
der,Schwiegersohn,the son-in-law ,A,Family,der Schwiegersohn,
der,Schwiegervater,the father-in-law,A,Family,der Schwiegervater,Tiger
das,Design,design,B,The arts,das Design,
das,Design,design ,B,The arts,das Design,
das,Detail,detail,B,The arts,das Detail,
der,Detektiv,detective,M,Society,der Detektiv,
das ,Deutsch,German (language),B,Education,das  Deutsch,
der,Dezember,December,B,Time,der Dezember,Tiger
das,Diagramm,diagram,M,Science,das Diagramm,
der,Diamant,diamond,A,Nature,der Diamant,Elefant
der,Dichter,poet,A,Education,der Dichter,Tiger
die,Dichtung,poetry,M,The arts,die Dichtung,Kleidung
die,Dicke,thickness,A,Society,die Dicke,Giraffe
die,Schwägerin,the sister-in-law,A,Family,die Schwägerin,Königin
die,Schwiegermutter,the mother-in-law ,A,Family,die Schwiegermutter,Tiger
die,Schwiegertochter,the daughter-in-law,A,Family,die Schwiegertochter,Tiger
der,Dieb,thief,M,Society,der Dieb,
der,Diener,servant,A,Work,der Diener,Tiger
der,Dienstag,Tuesday,M,Time,der Dienstag,Schlag
das,Dienstmädchen,maid,A,Work,das Dienstmädchen,Häuschen
das,Ding,thing,M,Conceptional,das Ding,
der,Dinosaurier,dinosaur,B,Animals,der Dinosaurier,Tiger
das,Diplom,diploma,M,Education,das Diplom,
der,Direktor,director,B,Work,der Direktor,Alligator
der,Dirigent,conductor,M,Work,der Dirigent,
die,Disco,disco,M,Leisure,die Disco,Foto
die,Diskussion,discussion,B,Leisure,die Diskussion,Emotion
die,Dissertation,dissertation ,B,Education,die Dissertation,Emotion
die,Distanz,distance,B,Transportation,die Distanz,Eleganz
das,Dock,dock,A,Transportation,das Dock,Dreck
der,Doktor,doctor,B,Work,der Doktor,Alligator
das,Dokument,document,B,Work,das Dokument,Monument
die,Dominanz,dominance,B,Society,die Dominanz,Eleganz
der,Donner,thunder,A,Nature,der Donner,Tiger
der,Donnerstag,Thursday,M,Time,der Donnerstag,Schlag
das,Doping,doping,B,Health,das Doping,Marketing
das,Dorf,village,A,Society,das Dorf,
die,Dose,can,M,Food,die Dose,Giraffe
der,Drache,dragon,B,Animals,der Drache,Giraffe
das,Drama,drama,B,The arts,das Drama,
der,Drang,urge,M,Psychology,der Drang,
der,Dreck,dirt,B,House,der Dreck,Dreck
das,Dressing,dressing,M,Food,das Dressing,Marketing
der,Drink,drink,M,Food,der Drink,
der,Druck,pressure,A,Science,der Druck,Dreck
der,Dschungel,jungle,M,Nature,der Dschungel,Büffel
der,Duft,scent,A,Nature,der Duft,
der,Dung,dung,M,Nature,der Dung,Kleidung
die,Dunkelheit,darkness,A,Science,die Dunkelheit,Langsamkeit
der,Durchgang,passage,A,Transportation,der Durchgang,
der,Durchschnitt,avarage,A,Science,der Durchschnitt,
die,Dusche,shower,A,House,die Dusche,Giraffe
die,E-Mail,email,B,Work,die E-Mail,
die,Ebene,plain,A,Nature,die Ebene,Giraffe
das,Echo,echo,A,Science,das Echo,Foto
die,Ecke,corner,M,Science,die Ecke,Giraffe
der,Effekt,effect,M,Science,der Effekt,
das,Ego,Ego,B,Psychology,das Ego,Foto
die,Ehe,marriage,A,Family,die Ehe,Giraffe
die,Ehefrau,wife,A,Family,die Ehefrau,Giraffe
der,Ehemann,husband,B,Family,der Ehemann,
das,Ehepaar,couple,A,Family,das Ehepaar,
die,Ehre,honor,A,Conceptional,die Ehre,Giraffe
das,Ei,egg,B,Food,das Ei,
die,Eiche,oak,M,Nature,die Eiche,Giraffe
die,Eichel,acorn,A,Nature,die Eichel,Büffel
das,Eichhörnchen,squirrel,A,Animals,das Eichhörnchen,Häuschen
die,Eigenschaft,characteristic,M,Psychology,die Eigenschaft,Mutterschaft
die,Eile,hurry,A,Psychology,die Eile,Giraffe
der,Eimer,bucket,M,House,der Eimer,Tiger
der,Eindruck,impression,A,Conceptional,der Eindruck,Dreck
der,Eingang,entrance,B,House,der Eingang,
die,Einheit,unity,M,Society,die Einheit,Langsamkeit
die,Einheit,unit,A,Military,die Einheit,Langsamkeit
der,Einkauf,purchase,M,Shopping,der Einkauf,
das,Einkaufszentrum,mall,M,Shopping,das Einkaufszentrum,Museum
die,Einladung,invitation,A,Society,die Einladung,Kleidung
der,Einsatz,deployment,M,Society,der Einsatz,
der,Einsatz,deployment ,A,Military,die Einsatz,
die,Einschiffung,embarkation ,A,Military,die Einschiffung,Kleidung
die,Einstellung,adjustment,A,Conceptional,die Einstellung,Kleidung
der,Eintritt,admission,A,The arts,der Eintritt,
das,Eis,ice,B,Nature,das Eis,
das,Eisen,iron,A,Nature,das Eisen,Schinken
die,Eisenbahn,railroad,A,Transportation,die Eisenbahn,
der,Ekel,disgust,A,Conceptional,der Ekel,Büffel
der,Elefant,elephant,B,Animals,der Elefant,Elefant
die,Eleganz,elegance,B,Conceptional,die Eleganz,Eleganz
der,Elektriker,electrician,M,Work,der Elektriker,Tiger
die,Elektrizität,electricity,B,Society,die Elektrizität,Antiquität
das,Element,element,B,Science,das Element,Monument
der,Elf,elf,A,Education,der Elf,
der,Ellbogen,elbow,M,Health,der Ellbogen,Schinken
das,Elternteil,parent,A,Family,das Elternteil,
der,Embryo,embryo ,B,Health,der Embryo,Foto
der,Emigrant,emigrant,B,Society,der Emigrant,Elefant
die,Emotion,emotion,B,Psychology,die Emotion,Emotion
der,Empfänger,recipient,A,Conceptional,der Empfänger,Tiger
das,Ende,end,B,Psychology,das Ende,Giraffe
die,Energie,energy,B,Science,die Energie,Giraffe
der,Engel,angel,M,Society,der Engel,Büffel
das,Englisch,English (language),B,Education,das Englisch,
der,Enkel,grandson ,M,Family,der Enkel,Büffel
die,Enkelin,granddaughter,M,Family,die Enkelin,Königin
die,Ente,duck,A,Animals,die Ente,Giraffe
die,Entscheidung,decision,M,Psychology,die Entscheidung,Kleidung
die,Enttäuschung,disappointment,A,Psychology,die Enttäuschung,Kleidung
die,Entwicklung,development,A,Work,die Entwicklung,Kleidung
der,Entwurf,draft,M,Work,der Entwurf,
die ,Erdbeere,strawberry,A,Food,die  Erdbeere,Giraffe
die,Erde,soil,A,Nature,die Erde,Giraffe
das,Ereignis,event,B,Leisure,das Ereignis,
die,Erfindung,invention ,A,Work,die Erfindung,Kleidung
der,Erfolg,success,A,Psychology,der Erfolg,
das,Ergebnis,result,M,Science,das Ergebnis,
die,Erkennung,recognition,M,Psychology,die Erkennung,Kleidung
die,Erklärung,explanation,A,Education,die Erklärung,Kleidung
die,Erlaubnis,permission,A,Conceptional,die Erlaubnis,
das,Erlebnis,experience,B,Leisure,das Erlebnis,
die,Ermittlung,investigation,A,Society,die Ermittlung,Kleidung
die,Erscheinung,appearance,A,Health,die Erscheinung,Kleidung
der,Erzähler,narrator,A,Education,der Erzähler,Tiger
die,Erzählung,story,A,Society,die Erzählung,Kleidung
die,Erziehung,education,A,Education,die Erziehung,Kleidung
der,Esel,donkey,M,Animals,der Esel,Büffel
der,Eskimo,eskimo,B,Society,der Eskimo,Foto
der,Espresso,espresso ,B,Food,der Espresso,Foto
das,Essen,food,B,Food,das Essen,
der,Essig,vinegar,A,Food,der Essig,König
das,Esslokal,eatery,A,Food,das Esslokal,Regal
die,Ethik,ethics,B,Psychology,die Ethik,Musik
die,Eule,owl,M,Animals,die Eule,Giraffe
der,Euro,euro,B,Society,der Euro,Foto
die,Evakuierung,evacuation ,A,Military,die Evakuierung,Kleidung
der,Ex-Mann,ex-husband,M,Family,der Ex-Mann,
die,Ex-Frau,ex-wife ,M,Family,die Exfrau,
die,Existenz,existence,M,Psychology,die Existenz,Eleganz
das,Experiment,experiment,M,Conceptional,das Experiment,Monument
der,Experte,expert,M,Work,der Experte,Giraffe
die,Explosion,explosion,M,Military,die Explosion,Emotion
die,Fabrik,factory,B,Work,die Fabrik,Musik
der,Fabrikant,manufacturer ,B,Work,der Fabrikant,Elefant
die,Fackel,torch,M,House,die Fackel,Büffel
der,Faden,thread,A,Shopping,der Faden,Schinken
die,Fähigkeit,ability,A,Education,die Fähigkeit,Langsamkeit
das,Fahrenheit,fahrenreit,B,Nature,das Fahrenheit,Langsamkeit
der,Fahrer,driver,M,Transportation,der Fahrer,Tiger
das,Fahrrad,bicycle,B,Transportation,das Fahrrad,
die,Fahrspur,lane,A,Transportation,die Fahrspur,Natur
die,Fahrt,journey,B,Transportation,die Fahrt,
das,Fahrzeug,vehicle,B,Transportation,das Fahrzeug,
der,Faktor,factor,B,Society,der Faktor,Alligator
der,Falke,falcon,M,Animals,der Falke,Giraffe
der,Fall,case,M,Conceptional,der Fall,Fußball
die,Falle,trap,M,Military,die Falle,Giraffe
der,Fallschirmjäger,paratrooper,A,Military,der Fallschirmjäger,Tiger
die,Falte,fold,M,House,die Falte,Giraffe
die,Familie,family,B,Family,die Familie,Giraffe
der,Fan,fan,B,Leisure,der Fan,
das,Farbband,ribbon,A,Shopping,das Farbband,Hund
die,Farbe,color,A,The arts,die Farbe,Giraffe
die,Faust,fist,M,Health,die Faust,
der,Favorit,favorite,M,Psychology,der Favorit,
das,Fazit,conclusion,A,Science,das Fazit,
der,Februar,February,B,Time,der Februar,
die,Feder,feather,M,Animals,die Feder,Tiger
die,Feder,quill ,A,The arts,die Feder,Tiger
die,Fee,fairy,A,Education,die Fee,Giraffe
der,Fehler,error,M,Conceptional,der Fehler,Tiger
die,Feier,celebration,B,Leisure,die Feier,Tiger
die ,Feige,fig,M,Food,die  Feige,Giraffe
der,Feind,enemy,A,Psychology,der Feind,Hund
die,Feindschaft,enmity,A,Psychology,die Feindschaft,Mutterschaft
das,Feld,field,B,Nature,das Feld,
das,Fell,fur,M,Animals,das Fell,
der,Felsen,rock,M,Nature,der Felsen,Schinken
das,Fenster,window,B,House,das Fenster,Tiger
das,Fensterchen,little window,A,House,das Fensterchen,Häuschen
das,Ferkel,piglet,A,Animals,das Ferkel,Büffel
das,Fernsehen,television,B,Leisure,das Fernsehen,
der,Fernseher,TV,A,Leisure,der Fernseher,Tiger
die,Ferse,heel,M,Health,die Ferse,Giraffe
das,Festival,festival,B,Leisure,das Festival,Regal
die,Festung,fort,M,Military,die Festung,Kleidung
das,Fett,fat,B,Health,das Fett,
das,Feuer,fire,B,Nature,das Feuer,Tiger
die,Fichte,spruce,A,Nature,die Fichte,Giraffe
das,Fieber,fever,B,Health,das Fieber,Tiger
die,Figur,figure,B,Health,die Figur,Natur
die,Fiktion,fiction,B,The arts,die Fiktion,Emotion
